id_videojuego,nombre
15,Accion
15,Supervivencia
16,Accion
18,Accion
20,RPG
20,Historicos
21,Ciencia Ficcion
21,Aventura
37,FPS
38,Supervivencia
39,FPS
39,Open world
40,Historicos
40,Fantasia
43,Sigilo
59,Accion
71,Platforma
72,FPS
73,Ciencia Ficcion
74,Simulador
75,Ciencia Ficcion
76,RPG
109,Thriller
109,Open world
113,Sandbox
113,Ciencia Ficcion
116,RPG
121,Simulador
124,Supervivencia
126,Hack and slash/Beat 'em up
127,Sigilo
128,Aventura
132,Guerra
230,Real Time Strategy (RTS)
231,Thriller
231,FPS
233,Accion
239,Guerra
247,Ciencia Ficcion
327,Historicos
343,Accion
358,Accion
375,Sigilo
375,Estrategia
379,Drama
379,FPS
427,Aventura
431,Aventura
431,Fantasia
434,Open world
472,Aventura
478,Aventura
493,Misterio
498,Ciencia Ficcion
500,Accion
501,Sigilo
512,Fantasia
512,Platforma
529,Open world
533,Sigilo
537,Fantasia
538,Accion
538,Drama
545,Historicos
545,FPS
549,Historicos
551,Fantasia
559,Sigilo
565,Historicos
622,FPS
623,Accion
673,Accion
730,FPS
730,Open world
731,Accion
732,Open world
733,Open world
733,Comedia
866,Estrategia
866,Turn-based strategy (TBS)
960,Thriller
974,Horror
979,Accion
1009,Sigilo
1011,Accion
1011,FPS
1020,Aventura
1026,Accion
1029,Fantasia
1029,Aventura
1068,Accion
1070,Platforma
1074,Accion
1121,Sigilo
1121,Accion
1164,Platforma
1164,Aventura
1262,Fantasia
1262,Estrategia
1266,Open world
1331,Indie
1352,Fantasia
1372,Accion
1384,FPS
1802,Ciencia Ficcion
1871,Aventura
1887,Aventura
1942,Fantasia
1970,Accion
1985,Aventura
1985,Tactical
2031,FPS
2155,Accion
2207,Puzzle
2207,Fantasia
2993,Drama
3025,Sigilo
5503,Open world
6036,Aventura
6036,Supervivencia
6801,FPS
6801,Historicos
7323,Horror
7323,Aventura
7331,Aventura
7334,Fantasia
7342,Horror
7342,Accion
7344,Indie
7346,Fantasia
7346,Sandbox
7351,Ciencia Ficcion
7599,Accion
8173,FPS
9630,Supervivencia
9630,Accion
9730,Open world
11133,Open world
11156,Ciencia Ficcion
11198,Indie
11208,Hack and slash/Beat 'em up
12517,RPG
12517,Aventura
14593,Aventura
17000,Negocio
17000,RPG
19560,Aventura
19565,Drama
25076,FPS
26758,Sandbox
