id_serie,genero
1.0,Drama
1.0,Comedia
1.0,Romance
2.0,Romance
2.0,Comedia
3.0,Fantasía
3.0,Aventura
3.0,Acción
4.0,Aventura
4.0,Drama
4.0,Comedia
4.0,Acción
5.0,Ciencia ficción
5.0,Drama
5.0,Thriller
6.0,Familiar
6.0,Comedia
7.0,Crimen
7.0,Thriller
7.0,Drama
8.0,Misterio
8.0,Thriller
8.0,Drama
9.0,Histórico
9.0,Drama
10.0,Acción
10.0,Drama
10.0,Ciencia ficción
11.0,Drama
11.0,Thriller
11.0,Thriller sicológico
11.0,Misterio
12.0,Deporte
12.0,Comedia
13.0,Crimen
13.0,Drama
13.0,Misterio
14.0,Fantasía
14.0,Comedia
14.0,Acción
15.0,Drama
15.0,Comedia
16.0,Drama
16.0,Comedia
17.0,Drama
17.0,Comedia
18.0,Romance
18.0,Aventura
18.0,Familiar
19.0,Misterio
19.0,Acción
19.0,Horror
19.0,Aventura
19.0,Drama
19.0,Comedia
20.0,Ciencia ficción
20.0,Aventura
20.0,Acción
20.0,Drama
20.0,Comedia
21.0,Comedia
22.0,Drama
22.0,Crimen
22.0,Thriller
22.0,Histórico
23.0,Acción
24.0,Comedia
24.0,Drama
24.0,Ciencia ficción
24.0,Fantasía oscura
24.0,Acción
24.0,Ciencia ficción apocalíptica
25.0,Aventura
25.0,Ciencia ficción
25.0,Fantasía
26.0,Aventura
26.0,Familiar
26.0,Comedia
27.0,Drama
27.0,Misterio
27.0,Thriller
28.0,Romance
28.0,Drama
29.0,Thriller
29.0,Crimen
29.0,Aventura
30.0,Drama
30.0,Aventura
30.0,Ciencia ficción
31.0,Slasher
31.0,Horror
